"","Rod.PR.CCA0","Rod.PR.CCA1","Bipolar.CCA2","Others.CCA3","MG.CCA4","Cone.PR.CCA5","Bipolar.CCA6","Bipolar.CCA7","Bipolar.CCA8","Amacrine.CCA9","Rod.PR.CCA10","Microglia.CCA11","RGC.CCA12"
"GABRD",0.00595653864893535,0.00584929013155024,0.017853834115013,0.00438292377832574,0.00449558421240736,0.00465255639363605,0.332693235121552,0.010969083325988,0.1520053640121,0.937966423323105,0,0.0269399454735504,0
"RP11-547D24.3",0.00074422091142786,0.00404585468777996,0.00744841036577981,0,0.0182500594199779,0,0,0.0131814826531688,0,0,0,0,0
"PRKCZ",0.253483918569158,0.207374611246222,0.246321994500837,0.126176435932178,0.143287959098194,0.143259378035051,0.540047291264773,0.32199588706224,0.35925289002798,1.13598319091967,0.498970275997206,0.0418081870591925,1.53312775053259
"RP5-892K4.1",0.00884872621963955,0.0407668217117802,0.00428540818512963,0,0.0126535043836229,0.042793991524333,0.0397749457358147,0.0146306726021041,0.00834058964632564,0.030191094641177,0.0945305257899236,0,0
"PRKCZ-AS1",0.00753916206022043,0.0136147438944046,0.0171655394228136,0.00700225682737546,0.0157743415680165,0,0.0335958647046585,0.0470954246929674,0.00959033907602837,0,0.0612246276656518,0,0
"FAAP20",0.575300264877893,0.411662671782822,0.834790354985949,1.19925335706851,0.599273578910965,0.715759966596643,0.485464451592261,0.511590381298701,0.519679907812042,0.872090378193428,0.270370178040106,0.690697834354265,1.12635428657835
"SKI",0.023032000007102,0.0217875971993045,0.0476146001229082,0.0403072382987985,0.107930445662236,0.0238530446495862,0.053212236030338,0.0330380507808796,0.0499041764312771,0.138977080120586,0.0250625938280856,0.087241279198954,0
"MORN1",0.074638381813849,0.150441411671471,0.116001357102168,0.0758562436472869,0.0878280725416744,0.163442416380041,0.0569751535048081,0.0570744907036771,0.049633578562839,0.139100915889123,0.212593908975683,0.021666688333355,0.0224629249423826
"RER1",0.836111831241651,0.846261830472874,0.395241740916294,0.726738905206298,1.0499642910805,0.783823756963165,0.35375648323365,0.371593836440453,0.387750409803861,0.434205485212196,0.844322211737932,1.0179818871723,0.0305260842349288
"PEX10",0.225963348907424,0.210547547046464,0.296863024655985,0.364164144671509,0.361209896817861,0.218682479960569,0.224430819727332,0.234564561118822,0.240264136309618,0.345928807476315,0.187984300988582,0.0902438314726214,0.7613014188215
"PLCH2",0.772192796881764,1.49443965409221,0.492427546948493,0.35547146008034,0.104105730730089,0.697440711628525,1.32371209634106,0.68698454637446,0.744462949542418,0.400106390736913,1.58129015061055,0.0757481144700714,0.270291598388576
"PANK4",0.163831754790786,0.288677087318172,0.136578768971942,0.0440017655243964,0.0472585626787473,0.188883809573185,0.203938724354971,0.190659026285463,0.173908962414421,0.206045913112463,0.219042454259997,0.101773655514097,0
"HES5",0.00246331969756798,0.00125344102012361,0.00897103830301054,0.00892420494258167,0.0380268398430579,0,0.00435781305766389,0,0,0,0,0,0
"RP3-395M20.12",0.0414749778942091,0.0289178329046768,0.0166331858079239,0.0448824561811162,0.104310748408626,0.0156472142500636,0.0201925609903753,0.0211409980740389,0.0877277040117054,0.0637824674459427,0.0565553280774582,0.0460888962631123,0.0105176027859026
"RP3-395M20.8",0,0,0.00248573560622369,0,0.0142754008097446,0,0,0,0,0,0,0.00809517333385142,0
"TNFRSF14",0.000256981678234269,0.00340755481469195,0.0022416830197443,0.0322570121556736,0.2968298193408,0,0,0.0191092995542522,0.0172208330750208,0.0139953311575258,0,0.497002832511832,0
"FAM213B",0.10011957020808,0.0602835783225794,0.142991992635846,0.141556800311643,0.0457584797172209,0.0533051748280343,0.124783048515528,0.111580506251975,0.242734449718378,0.449625853207154,0.111251084777304,0.0132839701004401,0.24345434951311
"MMEL1",0,0,0,0,0.0100626156702418,0,0,0.00585096423890657,0,0,0,0.0158129267513607,0
"RP13-436F16.1",0.000259296828488631,0,0,0,0,0,0,0,0,0,0,0,0.245723462751115
"TTC34",0.00280978138019494,0.0175861119886913,0.0220325224559775,0,0.0295174647768149,0.0230021607376832,0.00547756717140622,0.0507155983180963,0.0373797757884092,0.00688511768043139,0.0464870651443914,0,0
"PRDM16",0,0,0,0.00304573104245627,0,0,0,0,0,0.0166842861997984,0,0,0
"ARHGEF16",0.0331823451976616,0.0563198087732926,0.00408074321760074,0.0508385896643823,0.176543617814053,0.0155239238868436,0,0.0147548450667976,0.0037263266468128,0.00767688306264644,0.0307008550726697,0.00891792565482099,0.0847357093226228
"RP11-168F9.2",0.000607084765708998,0.000839431523541354,0,0,0,0,0,0,0,0,0,0,0
"MEGF6",0.00208677075377373,0.00204148274286271,0.00425659431591421,0.0155241665221244,0.142417934338076,0,0,0,0.0104112007862539,0.00665757685506722,0,0.0252674560219928,0
"RP11-46F15.2",0.0262336832623163,0.136082178036156,0.0390262609231563,0.0128932416573411,0.0500206620654231,0.0311572064021759,0.00861485127547121,0.0524400724833492,0.0602947027319347,0.124089069857045,0.19025797258954,0,0
"TPRG1L",0.146089238060246,0.175359980918927,0.279131358355896,0.178163335459127,0.217281375665629,0.206450914818863,0.21861001911385,0.431793072091053,0.240551527895709,0.553649184867811,0.210811978018049,0.209324100132756,0.287028801383478
"WRAP73",0.203507098110895,0.258071621716128,0.19525513024859,0.104358535287339,0.160256689338029,0.187204601913185,0.337015749878361,0.139611128521185,0.205507631716948,0.302031775029956,0.255503632229055,0.103461468673644,0.0680048883904975
"TP73",0.000632411039755165,0,0,0,0,0.0131441707711108,0,0,0,0,0,0,0
"RP5-1092A11.2",1.37289598342367,0.73780200666841,0.0269795638534808,0.417978456531629,0.14469990181952,0.736792499027973,0.0588010314175983,0.0738070160836194,0.0880635041585748,0.0390631957167791,0.524647836837762,0.259196692588815,0
"CCDC27",0.000360224630315871,0.000856792600327843,0,0,0,0,0,0,0,0,0,0,0
"SMIM1",0.0366345960439507,0.0308538845574661,0.0173050210756245,0.767586794198194,0.469305193610401,0.0106647430320152,0.00290788968629686,0.0368671539743624,0,0.0546366650282774,0,0.127280207384873,0.123749303173043
"LRRC47",0.303533795528919,0.38414679338788,0.347713414894687,0.238057714508697,0.340595990030735,0.192579333386223,0.461182719558287,0.647256611666841,0.413531756931778,0.594425840775664,0.339624284083905,0.129489509444667,0.185915754746113
"RP1-286D6.5",0,0,0,0,0,0,0,0,0,0,0,0,0
"CEP104",0.299178805550597,0.548283147403866,0.132092252031933,0.0848664711407181,0.168681040810623,1.29088397573877,0.191987449747096,0.172098225650082,0.132603936263359,0.618493782925421,0.786892715064972,0.124146727489776,0.145973049646455
"DFFB",0.0587496352090747,0.116613673069188,0.0338641635089833,0.0312444870220555,0.028098799582135,0.336169757372836,0.0725769974649922,0.0351382796618283,0.0746689334776948,0.0847059740313149,0.106605468076819,0,0
"C1orf174",0.163291823773142,0.27537168959408,0.228222894852836,0.161750271616438,0.208411882855526,0.323653204505527,0.229697395885656,0.194148279586245,0.231255841234958,0.211749704693387,0.105049263409715,0.211536694740203,0.504351248896738
"LINC01134",0.000856736044659403,0.00573305601621484,0.00200137614623815,0.00225105625186978,0.00294300719418109,0.0152647096705642,0,0,0,0,0,0,0
"RP1-37J18.1",0,0,0.00803850017781417,0,0,0,0.00209514295579416,0.0144888059485242,0,0,0,0,0
"LINC01646",0,0,0.0496913020790299,0,0,0,0,0,0,0,0,0,0
"AJAP1",0.000756208595969013,0.000813589151797511,0,0.00630993457367513,0.0356204861495402,0.00273332704668113,0.196033489270207,0.00697348124551954,0.00933069088167564,0.202482037350122,0,0,0
"RP11-154H17.1",0,0,0.00273895311733949,0.0229938974196248,0,0,0,0,0,0,0,0,0
"NPHP4",0.0269276992185404,0.0865329386397864,0.0185030999299748,0.0963804740164923,0.156307391055252,0.0786372205455935,0.0474829765028459,0.0635617937602491,0.0188718251102875,0.0179113887774402,0.222318867930566,0.00921136018629055,0.00928207770027243
